ANTHRO 3350F - SOCIETY AND CULTURE I,"[['', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '9:30 AM', '12:30 PM', 'SSC-2257']]"
ANTHRO 2264G - ISSUES IN PRIMATE CONSERVATION,"[['', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '6:30 PM', '9:30 PM', 'SSC-3018']]"
ANTHRO 4430F - SUPERVISED RESEARCH,"[['', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', '']]"
"ANTHRO 2250G - VERBAL ART, PERF &amp; SPEECH PLAY","[['', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '11:30 AM', '12:30 PM', 'UCC-66', '', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '12:30 PM', '2:30 PM', 'UCC-66']]"
ANTHRO 3389G - ADV SP TOP-REFUGEE &amp; MIGRNT ST,"[['', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '9:30 AM', '12:30 PM', 'SSC-3102']]"
ANTHRO 2211G - CULTURES OF CARIBBEAN,"[['', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', '', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'BARRIE', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'LONDON', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'OTTAWA', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'SUDBURY', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'TORONTO', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'VANCOUVER', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'CALGARY']]"
ANTHRO 2281G - ANTH. OF DEVELOPMENT,"[['', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', '', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'BARRIE', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'LONDON', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'OTTAWA', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'SUDBURY', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'TORONTO', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'VANCOUVER', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'CALGARY']]"
ANTHRO 1026F - INTRO BIOL ANTHRO &amp; ARCHA,"[['', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '3:30 PM', '6:30 PM', 'B&amp;GS-0153']]"
ANTHRO 1025F - INTRO SOCIOCUL ANTHRO,"[['', ' M', '  ', '  ', '  ', '  ', ' ', ' ', '', '7:00 PM', '10:00 PM', 'SSC-2032', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', '', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'BARRIE', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'LONDON', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'OTTAWA', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'SUDBURY', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'TORONTO', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'VANCOUVER', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'CALGARY']]"
ANTHRO 3307A - FIELD METHODS IN ARCHAEOLOGY,"[['', '  ', '  ', '  ', '  ', ' F', ' ', ' ', '', '8:30 AM', '11:30 AM', '', '', '  ', '  ', '  ', '  ', ' F', ' ', ' ', '', '12:30 PM', '2:30 PM', '']]"
